link_id,vdf_type,from_node_id,to_node_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,preload_volume,person_volume,travel_time,speed,speed_ratio,VOC,DOC,capacity,queue,avg_waiting_time_in_min,qdf,lanes,D,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_sov,person_vol_hov2,person_vol_hov3,person_vol_sut,person_vol_mut,obs_count,upper_bound_type,dev,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,TT_0,TT_1,TT_2,TT_3,TT_4,TT_5,TT_6,TT_7,TT_8,TT_9,TT_10,TT_11,TT_12,TT_13,TT_14,TT_15,TT_16,TT_17,TT_18,TT_19,SVol_0,SVol_1,SVol_2,SVol_3,SVol_4,SVol_5,SVol_6,SVol_7,SVol_8,SVol_9,SVol_10,SVol_11,SVol_12,SVol_13,SVol_14,SVol_15,SVol_16,SVol_17,SVol_18,SVol_19,notes
200820AB,qvdf,202925,202924,,,-1,0,-1,-1,4,,4,1500_1800,818.626,1.600,818.626,1.904,32.347,0.829,0.546,0.581,500.000,0.000,0.325,0.355,1.000,290.491,1.169,1.195,0.466,0.000,39.000,33.150,0.498,1.000,32.347,26.915,840.197,25.975,840.197,25.975,4.431,0.630,"LINESTRING (-112.446534 33.715240, -112.463350 33.712930)",817.0,0.0,0.0,0.0,0.0,195.8,0,622.8,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,38.724,37.897,37.069,36.241,35.414,34.586,33.759,32.509,30.411,33.917,35.823,37.729,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,819.71,0.00,-0.11,-0.10,-0.10,-0.09,-0.08,-0.08,-0.07,-0.07,-0.06,-0.06,-0.05,-0.04,-0.04,-0.03,-0.03,-0.02,-0.02,-0.02,period-based
200820BA,qvdf,202924,202925,,,-1,0,-1,-1,4,,4,1500_1800,963.215,1.544,963.215,2.007,30.685,0.787,0.642,0.684,500.000,0.000,0.428,0.355,1.000,341.799,1.169,1.195,0.613,0.000,39.000,33.150,0.498,1.000,30.685,25.398,988.596,32.218,988.596,32.218,6.869,2.396,"LINESTRING (-112.462914 33.709754, -112.446098 33.712064)",961.7,0.0,0.0,0.0,0.0,146.3,0,816.9,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,38.712,37.848,36.985,36.121,35.257,34.394,33.530,31.439,27.644,34.746,35.484,37.594,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,968.94,0.00,-0.38,-0.37,-0.36,-0.35,-0.34,-0.33,-0.32,-0.32,-0.31,-0.30,-0.29,-0.28,-0.27,-0.27,-0.26,-0.25,-0.24,-0.24,period-based
200821AB,qvdf,202925,202923,,,-1,0,-1,-1,2,,2,1500_1800,2993.374,628.227,2993.374,1.514,46.227,0.825,0.554,0.600,900.000,0.000,0.264,0.361,2.000,540.329,1.235,1.177,0.520,0.000,56.000,47.600,0.457,1.000,46.227,38.453,3491.112,75.520,3491.112,75.520,13.179,2.178,"LINESTRING (-112.445319 33.714907, -112.459997 33.726565)",2365.1,0.0,0.0,0.0,0.0,3833.2,0,-839.8,55.977,55.910,55.842,55.774,55.706,55.638,55.571,52.768,55.651,55.746,55.841,55.937,55.966,55.865,55.765,55.664,55.563,55.462,55.361,55.260,55.159,55.058,54.958,54.857,54.756,54.655,51.866,54.772,54.913,55.055,55.197,55.339,55.480,55.622,55.764,55.906,55.598,54.391,53.184,51.977,50.770,49.563,48.356,48.383,42.583,51.221,51.270,54.108,56.000,56.000,56.000,56.000,56.000,56.000,56.000,56.000,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,2988.88,0.00,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.20,0.20,0.19,period-based
200821BA,qvdf,202923,202925,,,-1,0,-1,-1,2,,2,1500_1800,2634.026,664.332,2634.026,1.462,47.855,0.855,0.488,0.528,900.000,0.000,0.213,0.361,2.000,475.464,1.235,1.177,0.419,0.000,56.000,47.600,0.457,1.000,47.855,39.949,3072.012,64.194,3072.012,64.194,9.337,0.000,"LINESTRING (-112.461991 33.724055, -112.447313 33.712397)",1969.7,0.0,0.0,0.0,0.0,3956.1,0,-1322.0,55.975,55.901,55.826,55.752,55.677,55.603,55.528,52.725,55.617,55.721,55.826,55.930,55.963,55.852,55.742,55.631,55.520,55.409,55.299,55.188,55.077,54.967,54.856,54.745,54.634,54.524,51.737,54.651,54.807,54.963,55.118,55.274,55.429,55.585,55.741,55.896,55.621,54.484,53.347,52.209,51.072,49.935,48.798,48.257,45.560,49.132,51.708,54.283,56.000,56.000,56.000,56.000,56.000,56.000,56.000,56.000,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,2626.25,0.00,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.42,0.41,0.40,0.39,0.38,0.37,0.37,0.36,0.35,0.34,period-based
200831AB,qvdf,202909,202908,,,-1,0,-1,-1,2,,2,1500_1800,3060.256,10.124,3060.256,0.947,31.981,0.820,0.567,0.614,900.000,0.000,0.171,0.361,2.000,552.402,1.235,1.177,0.540,0.000,39.000,33.150,0.457,1.000,31.981,26.585,1545.368,48.322,1545.368,48.322,8.697,1.704,"LINESTRING (-112.452710 33.640116, -112.461465 33.639989)",3050.1,0.0,0.0,0.0,0.0,2147.5,0,912.8,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,38.999,38.999,38.999,38.999,38.999,38.999,37.049,38.999,38.999,38.999,38.999,39.000,39.000,39.000,39.000,39.000,38.718,37.873,37.028,36.182,35.337,34.491,33.646,33.311,29.294,35.539,35.661,37.664,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,3060.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
200831BA,qvdf,202908,202909,,,-1,0,-1,-1,2,,2,1500_1800,2685.198,10.076,2685.198,0.914,33.168,0.850,0.497,0.539,900.000,0.000,0.137,0.361,2.000,484.701,1.235,1.177,0.433,0.000,39.000,33.150,0.457,1.000,33.168,27.674,1355.971,40.883,1355.971,40.883,6.114,0.000,"LINESTRING (-112.461419 33.636783, -112.452664 33.636910)",2675.1,0.0,0.0,0.0,0.0,1497.0,0,1188.2,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,38.999,38.999,38.999,38.999,38.999,38.999,37.049,38.999,38.999,38.999,38.999,39.000,39.000,39.000,39.000,39.000,38.728,37.910,37.093,36.275,35.458,34.640,33.823,33.295,31.427,34.039,35.899,37.760,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,2685.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
200833AB,qvdf,202905,202904,,,-1,0,-1,-1,4,,4,1500_1800,323.383,0.000,323.383,3.405,38.365,0.959,0.216,0.230,500.000,0.000,0.139,0.355,1.000,114.753,1.169,1.195,0.096,0.000,40.000,34.000,0.498,1.000,38.365,32.443,704.020,18.350,704.020,18.350,0.750,0.000,"LINESTRING (-112.478596 33.680470, -112.440812 33.680415)",323.4,0.0,0.0,0.0,0.0,7.8,0,315.5,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,39.930,39.721,39.511,39.302,39.093,38.883,38.674,38.464,36.479,38.855,39.284,39.714,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.40,3.40,3.40,3.40,325.44,0.00,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,period-based
200833BA,qvdf,202904,202905,,,-1,0,-1,1,4,,4,1500_1800,438.358,0.000,438.358,3.499,37.336,0.933,0.292,0.311,500.000,0.000,0.233,0.355,1.000,155.552,1.169,1.195,0.161,0.000,40.000,34.000,0.498,1.000,37.336,31.471,954.328,25.561,954.328,25.561,1.702,0.000,"LINESTRING (-112.440808 33.683621, -112.478592 33.683676)",438.4,0.0,0.0,0.0,0.0,9.2,0,429.2,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,39.884,39.537,39.190,38.843,38.496,38.149,37.802,37.455,35.466,38.068,38.792,39.517,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,441.77,0.00,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,period-based
200846AB,qvdf,615,202905,,,-1,0,-1,-1,9,,9,1500_1800,323.383,0.000,323.383,3.660,20.000,1.000,0.000,0.000,99999.000,0.000,0.000,0.355,9.000,12.750,1.169,1.195,0.000,0.000,20.000,17.000,0.498,1.000,20.000,17.000,394.550,19.728,394.550,19.728,0.000,0.000,"LINESTRING (-112.462929 33.694446, -112.479483 33.683406)",323.4,0.0,0.0,0.0,0.0,7.5,0,315.8,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,19.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,325.44,0.00,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,period-based
200846BA,qvdf,202905,615,,,-1,0,-1,-1,9,,9,1500_1800,438.358,0.000,438.358,3.660,20.000,1.000,0.000,0.000,99999.000,0.000,0.000,0.355,9.000,17.284,1.169,1.195,0.000,0.000,20.000,17.000,0.498,1.000,20.000,17.000,534.828,26.741,534.828,26.741,0.000,0.000,"LINESTRING (-112.477705 33.680740, -112.461151 33.691780)",438.4,0.0,0.0,0.0,0.0,8.9,0,429.5,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,19.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,441.77,0.00,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,period-based
