link_id,vdf_type,from_node_id,to_node_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,preload_volume,person_volume,travel_time,speed,speed_ratio,VOC,DOC,capacity,queue,avg_waiting_time_in_min,qdf,lanes,D,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_sov,person_vol_hov2,person_vol_hov3,person_vol_sut,person_vol_mut,obs_count,upper_bound_type,dev,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,TT_0,TT_1,TT_2,TT_3,TT_4,TT_5,TT_6,TT_7,TT_8,TT_9,TT_10,TT_11,TT_12,TT_13,TT_14,TT_15,TT_16,TT_17,TT_18,TT_19,SVol_0,SVol_1,SVol_2,SVol_3,SVol_4,SVol_5,SVol_6,SVol_7,SVol_8,SVol_9,SVol_10,SVol_11,SVol_12,SVol_13,SVol_14,SVol_15,SVol_16,SVol_17,SVol_18,SVol_19,notes,od_pairs,od_zone_pairs
200820AB,qvdf,202925,202924,,,-1,0,-1,-1,4,,4,1500_1800,408.793,1.6,408.793,1.679,36.675,0.94,0.273,0.29,500.0,0.0,0.1,0.355,1.0,145.061,1.169,1.195,0.143,0.0,39.0,33.15,0.498,1.0,36.675,30.941,419.565,11.44,419.565,11.44,0.682,0.0,"LINESTRING (-112.446534 33.715240, -112.463350 33.712930)",407.2,0.0,0.0,0.0,0.0,195.8,0.0,213.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.9,38.598,38.297,37.995,37.694,37.392,37.091,36.79,34.853,37.33,37.956,38.583,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,408.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based,"(1,15),(1,20),(1,51),(2,15),(2,20),(2,51),(7,15),(7,20),(7,51),(8,15),(8,20),(8,51),(9,15),(9,20),(9,51),(11,15),(11,20),(11,51),(13,15),(13,20),(13,51),(16,15),(16,20),(16,51),(18,15),(18,20),(18,51),(19,15),(19,20),(19,51),(21,15),(21,20),(21,51),(22,15),(22,20),(22,51),(23,15),(23,51),(24,15),(24,20),(24,51),(25,15),(25,20),(25,51),(26,15),(26,20),(26,51),(27,15),(27,20),(27,51),(28,15),(28,20),(28,51),(29,15),(29,20),(29,51),(30,15),(30,20),(30,51),(31,15),(31,20),(31,51),(32,15),(32,20),(32,51),(33,15),(33,20),(33,51),(34,15),(34,20),(34,51),(35,15),(35,20),(35,51),(36,15),(36,20),(36,51),(37,15),(37,20),(37,51),(38,15),(38,20),(38,51),(39,15),(39,20),(39,51),(40,15),(40,20),(40,51),(41,15),(41,20),(41,51),(42,15),(42,20),(42,51),(43,15),(43,20),(43,51),(46,15),(46,20),(46,51),(48,15),(48,20),(48,51),(49,15),(49,20),(49,51),(50,15),(50,20),(50,51),(52,15),(52,20),(52,51),(54,15),(54,20),(54,51),(55,15),(55,20),(55,51)","(2,16),(2,615),(2,2146),(3,16),(3,615),(3,2146),(8,16),(8,615),(8,2146),(9,16),(9,615),(9,2146),(10,16),(10,615),(10,2146),(12,16),(12,615),(12,2146),(14,16),(14,615),(14,2146),(17,16),(17,615),(17,2146),(19,16),(19,615),(19,2146),(602,16),(602,615),(602,2146),(617,16),(617,615),(617,2146),(619,16),(619,615),(619,2146),(620,16),(620,2146),(621,16),(621,615),(621,2146),(622,16),(622,615),(622,2146),(623,16),(623,615),(623,2146),(624,16),(624,615),(624,2146),(625,16),(625,615),(625,2146),(626,16),(626,615),(626,2146),(627,16),(627,615),(627,2146),(628,16),(628,615),(628,2146),(633,16),(633,615),(633,2146),(637,16),(637,615),(637,2146),(640,16),(640,615),(640,2146),(645,16),(645,615),(645,2146),(646,16),(646,615),(646,2146),(647,16),(647,615),(647,2146),(649,16),(649,615),(649,2146),(650,16),(650,615),(650,2146),(651,16),(651,615),(651,2146),(652,16),(652,615),(652,2146),(653,16),(653,615),(653,2146),(654,16),(654,615),(654,2146),(2061,16),(2061,615),(2061,2146),(2136,16),(2136,615),(2136,2146),(2137,16),(2137,615),(2137,2146),(2142,16),(2142,615),(2142,2146),(2147,16),(2147,615),(2147,2146),(2166,16),(2166,615),(2166,2146),(2197,16),(2197,615),(2197,2146)"
200820BA,qvdf,202924,202925,,,-1,0,-1,-1,4,,4,1500_1800,477.247,1.544,477.247,1.709,36.031,0.924,0.318,0.339,500.0,0.0,0.13,0.355,1.0,169.352,1.169,1.195,0.187,0.0,39.0,33.15,0.498,1.0,36.031,30.334,489.822,13.595,489.822,13.595,1.035,0.0,"LINESTRING (-112.462914 33.709754, -112.446098 33.712064)",475.7,0.0,0.0,0.0,0.0,146.3,0.0,330.9,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.87,38.481,38.092,37.702,37.313,36.924,36.534,36.991,35.053,36.817,37.635,38.454,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,477.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based,"(15,0),(15,1),(15,2),(15,7),(15,8),(15,9),(15,11),(15,13),(15,16),(15,18),(15,19),(15,21),(15,22),(15,23),(15,24),(15,25),(15,26),(15,27),(15,28),(15,29),(15,30),(15,31),(15,32),(15,33),(15,34),(15,35),(15,36),(15,37),(15,38),(15,39),(15,40),(15,41),(15,42),(15,43),(15,46),(15,48),(15,49),(15,50),(15,52),(15,55),(20,0),(20,1),(20,2),(20,7),(20,8),(20,9),(20,11),(20,13),(20,16),(20,18),(20,19),(20,21),(20,22),(20,24),(20,25),(20,26),(20,27),(20,28),(20,29),(20,30),(20,31),(20,32),(20,33),(20,34),(20,35),(20,36),(20,37),(20,38),(20,39),(20,40),(20,41),(20,42),(20,43),(20,46),(20,48),(20,49),(20,50),(20,52),(20,55),(51,0),(51,1),(51,2),(51,7),(51,8),(51,9),(51,11),(51,13),(51,16),(51,18),(51,19),(51,21),(51,22),(51,23),(51,24),(51,25),(51,26),(51,27),(51,28),(51,29),(51,30),(51,31),(51,32),(51,33),(51,34),(51,35),(51,36),(51,37),(51,38),(51,39),(51,40),(51,41),(51,42),(51,43),(51,46),(51,48),(51,49),(51,50),(51,52),(51,55)","(16,1),(16,2),(16,3),(16,8),(16,9),(16,10),(16,12),(16,14),(16,17),(16,19),(16,602),(16,617),(16,619),(16,620),(16,621),(16,622),(16,623),(16,624),(16,625),(16,626),(16,627),(16,628),(16,633),(16,637),(16,640),(16,645),(16,646),(16,647),(16,649),(16,650),(16,651),(16,652),(16,653),(16,654),(16,2061),(16,2136),(16,2137),(16,2142),(16,2147),(16,2197),(615,1),(615,2),(615,3),(615,8),(615,9),(615,10),(615,12),(615,14),(615,17),(615,19),(615,602),(615,617),(615,619),(615,621),(615,622),(615,623),(615,624),(615,625),(615,626),(615,627),(615,628),(615,633),(615,637),(615,640),(615,645),(615,646),(615,647),(615,649),(615,650),(615,651),(615,652),(615,653),(615,654),(615,2061),(615,2136),(615,2137),(615,2142),(615,2147),(615,2197),(2146,1),(2146,2),(2146,3),(2146,8),(2146,9),(2146,10),(2146,12),(2146,14),(2146,17),(2146,19),(2146,602),(2146,617),(2146,619),(2146,620),(2146,621),(2146,622),(2146,623),(2146,624),(2146,625),(2146,626),(2146,627),(2146,628),(2146,633),(2146,637),(2146,640),(2146,645),(2146,646),(2146,647),(2146,649),(2146,650),(2146,651),(2146,652),(2146,653),(2146,654),(2146,2061),(2146,2136),(2146,2137),(2146,2142),(2146,2147),(2146,2197)"
200821AB,qvdf,202925,202923,,,-1,0,-1,-1,2,,2,1500_1800,4065.161,628.227,4065.161,1.693,41.324,0.738,0.753,0.815,900.0,0.0,0.444,0.361,2.0,733.796,1.235,1.177,0.874,0.0,56.0,47.6,0.457,1.0,41.324,34.009,4741.116,114.73,4741.116,114.73,30.068,15.127,"LINESTRING (-112.445319 33.714907, -112.459997 33.726565)",3436.9,0.0,0.0,0.0,0.0,3833.2,0.0,232.0,55.977,55.91,55.842,55.774,55.706,55.638,55.571,52.768,55.651,55.746,55.841,55.937,55.966,55.865,55.765,55.664,55.563,55.462,55.361,55.26,55.159,55.058,54.958,54.857,54.756,54.655,51.866,54.772,54.913,55.055,55.197,55.339,55.48,55.622,55.764,55.906,55.552,54.209,52.865,51.522,50.178,48.835,51.323,38.787,35.681,49.786,49.785,53.514,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,4065.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based,"(1,5),(1,47),(2,5),(2,47),(7,47),(8,47),(9,47),(11,47),(13,47),(16,47),(18,47),(19,47),(21,47),(22,47),(23,47),(24,47),(25,47),(26,47),(27,47),(28,47),(29,47),(30,47),(31,47),(32,47),(33,47),(34,47),(35,47),(36,47),(37,47),(38,47),(39,47),(40,47),(41,47),(42,47),(43,47),(46,47),(48,47),(49,47),(50,47),(52,47),(54,47),(55,47)","(2,6),(2,2125),(3,6),(3,2125),(8,2125),(9,2125),(10,2125),(12,2125),(14,2125),(17,2125),(19,2125),(602,2125),(617,2125),(619,2125),(620,2125),(621,2125),(622,2125),(623,2125),(624,2125),(625,2125),(626,2125),(627,2125),(628,2125),(633,2125),(637,2125),(640,2125),(645,2125),(646,2125),(647,2125),(649,2125),(650,2125),(651,2125),(652,2125),(653,2125),(654,2125),(2061,2125),(2136,2125),(2137,2125),(2142,2125),(2147,2125),(2166,2125),(2197,2125)"
200821BA,qvdf,202923,202925,,,-1,0,-1,-1,2,,2,1500_1800,3750.855,664.332,3750.855,1.637,42.752,0.763,0.695,0.752,900.0,0.0,0.387,0.361,2.0,677.061,1.235,1.177,0.762,0.0,56.0,47.6,0.457,1.0,42.752,35.294,4374.547,102.322,4374.547,102.322,24.206,10.421,"LINESTRING (-112.461991 33.724055, -112.447313 33.712397)",3086.5,0.0,0.0,0.0,0.0,3956.1,0.0,-205.2,55.975,55.901,55.826,55.752,55.677,55.603,55.528,52.725,55.617,55.721,55.826,55.93,55.963,55.852,55.742,55.631,55.52,55.409,55.299,55.188,55.077,54.967,54.856,54.745,54.634,54.524,51.737,54.651,54.807,54.963,55.118,55.274,55.429,55.585,55.741,55.896,55.568,54.27,52.973,51.676,50.379,49.082,50.081,41.355,37.44,49.788,50.344,53.738,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,3750.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based,"(5,0),(5,1),(5,2),(5,3),(5,7),(5,8),(5,9),(5,11),(5,13),(5,16),(5,18),(5,19),(5,21),(5,22),(5,23),(5,24),(5,25),(5,26),(5,27),(5,28),(5,29),(5,30),(5,31),(5,32),(5,33),(5,34),(5,35),(5,36),(5,37),(5,38),(5,39),(5,40),(5,41),(5,42),(5,43),(5,46),(5,48),(5,49),(5,50),(5,52),(5,55),(47,0),(47,1),(47,2),(47,7),(47,8),(47,9),(47,11),(47,13),(47,16),(47,18),(47,19),(47,21),(47,22),(47,23),(47,24),(47,25),(47,26),(47,27),(47,28),(47,29),(47,30),(47,31),(47,32),(47,33),(47,34),(47,35),(47,36),(47,37),(47,38),(47,39),(47,40),(47,41),(47,42),(47,43),(47,46),(47,48),(47,49),(47,50),(47,52),(47,55)","(6,1),(6,2),(6,3),(6,4),(6,8),(6,9),(6,10),(6,12),(6,14),(6,17),(6,19),(6,602),(6,617),(6,619),(6,620),(6,621),(6,622),(6,623),(6,624),(6,625),(6,626),(6,627),(6,628),(6,633),(6,637),(6,640),(6,645),(6,646),(6,647),(6,649),(6,650),(6,651),(6,652),(6,653),(6,654),(6,2061),(6,2136),(6,2137),(6,2142),(6,2147),(6,2197),(2125,1),(2125,2),(2125,3),(2125,8),(2125,9),(2125,10),(2125,12),(2125,14),(2125,17),(2125,19),(2125,602),(2125,617),(2125,619),(2125,620),(2125,621),(2125,622),(2125,623),(2125,624),(2125,625),(2125,626),(2125,627),(2125,628),(2125,633),(2125,637),(2125,640),(2125,645),(2125,646),(2125,647),(2125,649),(2125,650),(2125,651),(2125,652),(2125,653),(2125,654),(2125,2061),(2125,2136),(2125,2137),(2125,2142),(2125,2147),(2125,2197)"
200831AB,qvdf,202909,202908,,,-1,0,-1,-1,2,,2,1500_1800,2424.427,10.124,2424.427,0.892,33.975,0.871,0.449,0.486,900.0,0.0,0.115,0.361,2.0,437.63,1.235,1.177,0.364,0.0,39.0,33.15,0.457,1.0,33.975,28.42,1224.287,36.035,1224.287,36.035,4.643,0.0,"LINESTRING (-112.452710 33.640116, -112.461465 33.639989)",2414.3,0.0,0.0,0.0,0.0,2147.5,0.0,277.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.999,38.999,38.999,38.999,38.999,38.999,37.049,38.999,38.999,38.999,38.999,39.0,39.0,39.0,39.0,39.0,38.77,38.079,37.388,36.697,36.006,35.315,34.624,34.813,32.899,34.905,36.441,37.976,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,2424.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based,"(1,4),(1,19),(2,4),(2,19),(5,19),(7,19),(8,19),(9,19),(11,19),(13,19),(15,19),(16,19),(18,19),(20,19),(21,19),(22,19),(23,19),(24,19),(25,19),(26,19),(27,19),(28,19),(29,19),(30,19),(31,19),(32,19),(33,19),(34,19),(35,19),(36,19),(37,19),(38,19),(39,19),(40,19),(41,19),(42,19),(43,19),(46,19),(47,19),(48,19),(49,19),(50,19),(51,19),(52,19),(55,19)","(2,5),(2,602),(3,5),(3,602),(6,602),(8,602),(9,602),(10,602),(12,602),(14,602),(16,602),(17,602),(19,602),(615,602),(617,602),(619,602),(620,602),(621,602),(622,602),(623,602),(624,602),(625,602),(626,602),(627,602),(628,602),(633,602),(637,602),(640,602),(645,602),(646,602),(647,602),(649,602),(650,602),(651,602),(652,602),(653,602),(654,602),(2061,602),(2125,602),(2136,602),(2137,602),(2142,602),(2146,602),(2147,602),(2197,602)"
200831BA,qvdf,202908,202909,,,-1,0,-1,-1,2,,2,1500_1800,1560.342,10.076,1560.342,0.831,36.446,0.935,0.289,0.313,900.0,0.0,0.054,0.361,2.0,281.655,1.235,1.177,0.172,0.0,39.0,33.15,0.457,1.0,36.446,30.727,787.942,21.619,787.942,21.619,1.416,0.0,"LINESTRING (-112.461419 33.636783, -112.452664 33.636910)",1550.3,0.0,0.0,0.0,0.0,1497.0,0.0,63.4,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.999,38.999,38.999,38.999,38.999,38.999,37.049,38.999,38.999,38.999,38.999,39.0,39.0,39.0,39.0,39.0,38.889,38.555,38.222,37.888,37.554,37.221,36.887,37.391,35.451,37.137,37.836,38.534,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1560.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based,"(4,1),(4,2),(4,3),(19,0),(19,1),(19,2),(19,7),(19,8),(19,9),(19,11),(19,13),(19,15),(19,16),(19,18),(19,20),(19,21),(19,22),(19,23),(19,24),(19,25),(19,26),(19,27),(19,28),(19,29),(19,30),(19,31),(19,32),(19,33),(19,34),(19,35),(19,36),(19,37),(19,38),(19,39),(19,40),(19,41),(19,42),(19,43),(19,46),(19,47),(19,48),(19,49),(19,50),(19,51),(19,52),(19,55),(54,0),(54,1),(54,2),(54,7),(54,8),(54,9),(54,11),(54,13),(54,15),(54,16),(54,18),(54,20),(54,21),(54,22),(54,23),(54,24),(54,25),(54,26),(54,27),(54,28),(54,29),(54,30),(54,31),(54,32),(54,33),(54,34),(54,35),(54,36),(54,37),(54,38),(54,39),(54,40),(54,41),(54,42),(54,43),(54,46),(54,47),(54,48),(54,49),(54,50),(54,51),(54,52),(54,55)","(5,2),(5,3),(5,4),(602,1),(602,2),(602,3),(602,8),(602,9),(602,10),(602,12),(602,14),(602,16),(602,17),(602,19),(602,615),(602,617),(602,619),(602,620),(602,621),(602,622),(602,623),(602,624),(602,625),(602,626),(602,627),(602,628),(602,633),(602,637),(602,640),(602,645),(602,646),(602,647),(602,649),(602,650),(602,651),(602,652),(602,653),(602,654),(602,2061),(602,2125),(602,2136),(602,2137),(602,2142),(602,2146),(602,2147),(602,2197),(2166,1),(2166,2),(2166,3),(2166,8),(2166,9),(2166,10),(2166,12),(2166,14),(2166,16),(2166,17),(2166,19),(2166,615),(2166,617),(2166,619),(2166,620),(2166,621),(2166,622),(2166,623),(2166,624),(2166,625),(2166,626),(2166,627),(2166,628),(2166,633),(2166,637),(2166,640),(2166,645),(2166,646),(2166,647),(2166,649),(2166,650),(2166,651),(2166,652),(2166,653),(2166,654),(2166,2061),(2166,2125),(2166,2136),(2166,2137),(2166,2142),(2166,2146),(2166,2147),(2166,2197)"
200833AB,qvdf,202905,202904,,,-1,0,-1,-1,4,,4,1500_1800,1.0,0.0,1.0,3.266,40.0,1.0,0.001,0.001,500.0,0.0,0.0,0.355,1.0,0.355,1.169,1.195,0.0,0.0,40.0,34.0,0.498,1.0,40.0,34.0,2.177,0.054,2.177,0.054,0.0,0.0,"LINESTRING (-112.478596 33.680470, -112.440812 33.680415)",1.0,0.0,0.0,0.0,0.0,7.8,0.0,-6.8,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based,"(20,23)","(615,620)"
200833BA,qvdf,202904,202905,,,-1,0,-1,1,4,,4,1500_1800,10.327,0.0,10.327,3.266,39.995,1.0,0.007,0.007,500.0,0.0,0.0,0.355,1.0,3.665,1.169,1.195,0.0,0.0,40.0,34.0,0.498,1.0,39.995,33.995,22.483,0.562,22.483,0.562,0.0,0.0,"LINESTRING (-112.440808 33.683621, -112.478592 33.683676)",10.3,0.0,0.0,0.0,0.0,9.2,0.0,1.1,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.999,39.999,39.998,39.997,39.997,39.996,39.995,37.996,39.997,39.998,39.999,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,10.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based,"(23,20)","(620,615)"
200846AB,qvdf,615,202905,,,-1,0,-1,-1,9,,9,1500_1800,1.0,0.0,1.0,3.66,20.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.355,9.0,0.039,1.169,1.195,0.0,0.0,20.0,17.0,0.498,1.0,20.0,17.0,1.22,0.061,1.22,0.061,0.0,0.0,"LINESTRING (-112.462929 33.694446, -112.479483 33.683406)",1.0,0.0,0.0,0.0,0.0,7.5,0.0,-6.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based,"(20,23)","(615,620)"
200846BA,qvdf,202905,615,,,-1,0,-1,-1,9,,9,1500_1800,10.327,0.0,10.327,3.66,20.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.355,9.0,0.407,1.169,1.195,0.0,0.0,20.0,17.0,0.498,1.0,20.0,17.0,12.6,0.63,12.6,0.63,0.0,0.0,"LINESTRING (-112.477705 33.680740, -112.461151 33.691780)",10.3,0.0,0.0,0.0,0.0,8.9,0.0,1.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,10.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based,"(23,20)","(620,615)"
