link_id,tmc_corridor_name,tmc_road_sequence,tmc,link_type_name,from_node_id,to_node_id,geometry,link_type_code,FT,AT,nlanes,link_distance_VDF,free_speed,capacity,k_critical,v_congestion_cutoff,AM_Volume,AM_speed_BPR,AM_speed_QVDF,AM_t0,AM_t3,AM_P, AM_D,AM_DC_ratio,AM_mu,MD_Volume,MD_speed_BPR,MD_speed_QVDF,MD_t0,MD_t3,MD_P, MD_D,MD_DC_ratio,MD_mu,PM_Volume,PM_speed_BPR,PM_speed_QVDF,PM_t0,PM_t3,PM_P, PM_D,PM_DC_ratio,PM_mu,vh06,vh07,vh08,vh09,vh10,vh11,vh12,vh13,vh14,vh15,vh16,vh17,vh18,vh19,vrh06,vrh07,vrh08,vrh09,vrh10,vrh11,vrh12,vrh13,vrh14,vrh15,vrh16,vrh17,vrh18,vrh19,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,vr06:00,vr06:15,vr06:30,vr06:45,vr07:00,vr07:15,vr07:30,vr07:45,vr08:00,vr08:15,vr08:30,vr08:45,vr09:00,vr09:15,vr09:30,vr09:45,vr10:00,vr10:15,vr10:30,vr10:45,vr11:00,vr11:15,vr11:30,vr11:45,vr12:00,vr12:15,vr12:30,vr12:45,vr13:00,vr13:15,vr13:30,vr13:45,vr14:00,vr14:15,vr14:30,vr14:45,vr15:00,vr15:15,vr15:30,vr15:45,vr16:00,vr16:15,vr16:30,vr16:45,vr17:00,vr17:15,vr17:30,vr17:45,vr18:00,vr18:15,vr18:30,vr18:45,vr19:00,vr19:15,vr19:30,vr19:45,
200820AB,,-1,,,202925,202924,"LINESTRING (-112.446534 33.715240, -112.463350 33.712930)",,4,3,0,1.026350,39.000000,500.000000,45.000000,33.150002,1.093816,38.999985, 38.999886,7.749997,7.750003, 0.000006,0.388378,0.000777,33.150002, 1.093816,38.999985, 38.999886,7.749997,7.750003, 0.000006,0.388378,0.000777,33.150002, 1.093816,38.999985, 38.999886,7.749997,7.750003, 0.000006,0.388378,0.000777,33.150002, 39.000,38.512,39.000,39.000,39.000,39.000,38.512,39.000,39.000,37.496,34.250,34.697,39.000,39.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,33.150,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,33.150,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,38.180,37.360,36.540,35.720,34.899,34.079,33.259,27.268,33.398,35.266,37.133,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.823,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
200820BA,,-1,,,202924,202925,"LINESTRING (-112.462914 33.709754, -112.446098 33.712064)",,4,3,0,1.026350,39.000000,500.000000,45.000000,33.150002,1.055393,38.999986, 38.999892,7.749997,7.750003, 0.000005,0.374735,0.000749,33.150002, 1.055393,38.999986, 38.999892,7.749997,7.750003, 0.000005,0.374735,0.000749,33.150002, 1.055393,38.999986, 38.999892,7.749997,7.750003, 0.000005,0.374735,0.000749,33.150002, 39.000,38.512,39.000,39.000,39.000,39.000,38.512,39.000,39.000,37.290,32.855,32.756,39.000,39.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.991,0.988,1.000,1.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,33.150,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,33.150,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,38.067,37.135,36.202,35.269,34.337,33.404,29.961,23.184,29.961,33.851,36.425,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.904,0.699,0.904,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
200821AB,,-1,,,202925,202923,"LINESTRING (-112.445319 33.714907, -112.459997 33.726565)",,2,3,0,1.166280,56.000000,900.000000,45.000000,47.599998,429.394279,55.939637, 55.527543,7.741880,7.758120, 0.016240,77.389731,0.085989,47.599998, 429.394279,55.939637, 55.527543,7.741880,7.758120, 0.016240,77.389731,0.085989,47.599998, 429.394279,55.939637, 55.527543,7.741880,7.758120, 0.016240,77.389731,0.085989,47.599998, 55.876,54.921,55.794,55.815,55.412,55.008,54.012,55.126,55.693,55.148,53.587,53.534,56.000,56.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,56.000,55.932,55.864,55.797,55.729,55.661,55.593,47.160,55.620,55.715,55.810,55.905,56.000,55.899,55.798,55.697,55.596,55.496,55.395,55.294,55.193,55.092,54.991,54.890,54.789,54.689,46.292,54.725,54.866,55.008,55.150,55.291,55.433,55.575,55.717,55.858,56.000,55.535,55.071,54.606,54.142,53.677,53.212,52.748,44.220,53.085,54.057,55.028,56.000,56.000,56.000,56.000,56.000,56.000,56.000,56.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.991,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.973,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
200821BA,,-1,,,202923,202925,"LINESTRING (-112.461991 33.724055, -112.447313 33.712397)",,2,3,0,1.166280,56.000000,900.000000,45.000000,47.599998,454.072177,55.933648, 55.481040,7.741073,7.758927, 0.017853,81.837428,0.090930,47.599998, 454.072177,55.933648, 55.481040,7.741073,7.758927, 0.017853,81.837428,0.090930,47.599998, 454.072177,55.933648, 55.481040,7.741073,7.758927, 0.017853,81.837428,0.090930,47.599998, 55.863,54.883,55.773,55.797,55.354,54.911,53.887,55.040,55.663,54.846,52.446,52.594,56.000,56.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,56.000,55.925,55.851,55.776,55.702,55.627,55.553,47.117,55.582,55.686,55.791,55.895,56.000,55.889,55.779,55.668,55.557,55.446,55.336,55.225,55.114,55.004,54.893,54.782,54.671,54.561,46.166,54.600,54.755,54.911,55.066,55.222,55.378,55.533,55.689,55.844,56.000,55.370,54.741,54.111,53.482,52.852,52.223,51.593,43.105,51.980,53.320,54.660,56.000,56.000,56.000,56.000,56.000,56.000,56.000,56.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.990,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.970,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.906,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
200831AB,,-1,,,202909,202908,"LINESTRING (-112.452710 33.640116, -112.461465 33.639989)",,2,3,0,0.504980,39.000000,900.000000,45.000000,33.150002,6.919564,38.999962, 38.999697,7.749993,7.750007, 0.000015,1.247113,0.001386,33.150002, 6.919564,38.999962, 38.999697,7.749993,7.750007, 0.000015,1.247113,0.001386,33.150002, 6.919564,38.999962, 38.999697,7.749993,7.750007, 0.000015,1.247113,0.001386,33.150002, 39.000,38.512,39.000,39.000,39.000,38.999,38.512,38.999,39.000,38.754,38.218,37.929,39.000,39.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,33.150,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,38.999,38.999,38.999,38.999,38.999,38.999,33.149,38.999,38.999,38.999,38.999,39.000,39.000,39.000,39.000,39.000,39.000,38.866,38.732,38.598,38.464,38.330,38.196,38.062,32.145,38.182,38.454,38.727,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.970,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
200831BA,,-1,,,202908,202909,"LINESTRING (-112.461419 33.636783, -112.452664 33.636910)",,2,3,0,0.504980,39.000000,900.000000,45.000000,33.150002,6.886654,38.999962, 38.999699,7.749993,7.750007, 0.000015,1.241182,0.001379,33.150002, 6.886654,38.999962, 38.999699,7.749993,7.750007, 0.000015,1.241182,0.001379,33.150002, 6.886654,38.999962, 38.999699,7.749993,7.750007, 0.000015,1.241182,0.001379,33.150002, 39.000,38.512,39.000,39.000,39.000,38.999,38.512,38.999,39.000,38.802,38.371,38.044,39.000,39.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,33.150,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,38.999,38.999,38.999,38.999,38.999,38.999,33.149,38.999,38.999,38.999,38.999,39.000,39.000,39.000,39.000,39.000,39.000,38.892,38.784,38.677,38.569,38.461,38.353,38.245,32.339,38.344,38.563,38.781,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.976,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
200833AB,,-1,,,202905,202904,"LINESTRING (-112.478596 33.680470, -112.440812 33.680415)",,4,3,0,2.177050,40.000000,500.000000,45.000000,34.000000,0.000000,40.000000, 40.000000,7.750000,7.750000, 0.000000,0.000000,0.000000,34.000000, 0.000000,40.000000, 40.000000,7.750000,7.750000, 0.000000,0.000000,0.000000,34.000000, 0.000000,40.000000, 40.000000,7.750000,7.750000, 0.000000,0.000000,0.000000,34.000000, 40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,39.500,40.000,40.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,-nan(ind),40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,-nan(ind),40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,34.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,-nan(ind),1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,-nan(ind),1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
200833BA,,-1,,,202904,202905,"LINESTRING (-112.440808 33.683621, -112.478592 33.683676)",,4,3,0,2.177050,40.000000,500.000000,45.000000,34.000000,0.000000,40.000000, 40.000000,7.750000,7.750000, 0.000000,0.000000,0.000000,34.000000, 0.000000,40.000000, 40.000000,7.750000,7.750000, 0.000000,0.000000,0.000000,34.000000, 0.000000,40.000000, 40.000000,7.750000,7.750000, 0.000000,0.000000,0.000000,34.000000, 40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,39.500,40.000,40.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,-nan(ind),40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,-nan(ind),40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,34.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,-nan(ind),1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,-nan(ind),1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
200846AB,,-1,,,615,202905,"LINESTRING (-112.462929 33.694446, -112.479483 33.683406)",,9,3,0,1.220070,20.000000,99999.000000,45.000000,17.000000,0.000000,20.000000, 20.000000,7.750000,7.750000, 0.000000,0.000000,0.000000,17.000000, 0.000000,20.000000, 20.000000,7.750000,7.750000, 0.000000,0.000000,0.000000,17.000000, 0.000000,20.000000, 20.000000,7.750000,7.750000, 0.000000,0.000000,0.000000,17.000000, 20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,19.750,20.000,20.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,-nan(ind),20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,-nan(ind),20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,17.001,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,-nan(ind),1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,-nan(ind),1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
200846BA,,-1,,,202905,615,"LINESTRING (-112.477705 33.680740, -112.461151 33.691780)",,9,3,0,1.220070,20.000000,99999.000000,45.000000,17.000000,0.000000,20.000000, 20.000000,7.750000,7.750000, 0.000000,0.000000,0.000000,17.000000, 0.000000,20.000000, 20.000000,7.750000,7.750000, 0.000000,0.000000,0.000000,17.000000, 0.000000,20.000000, 20.000000,7.750000,7.750000, 0.000000,0.000000,0.000000,17.000000, 20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,19.750,20.000,20.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,-nan(ind),20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,-nan(ind),20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,16.999,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,-nan(ind),1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,-nan(ind),1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
