od_no,o_zone_id,d_zone_id,o_zone_agent_type_cover_flag,d_zone_agent_type_cover_flag,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,sensor_flag,toll,travel_time,VDF_travel_time,travel_time_without_access_link,#_of_nodes,distance_kmOD0,OD1,OD2,OD3,OD4,OD5,OD6,OD7,OD8,OD9,OD10,OD11,OD12,OD13,OD14,OD15,OD16,OD17,OD18,OD19,
1,2,1,0,0,0,0,sov,PM,675.13,0,1,1,0.0,9.6,9.5993,9.5993,12,6.5439,100.354500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2,2,4,0,0,0,0,sov,PM,919.92,0,1,1,0.0,11.7,11.6802,11.6802,21,7.1560,136.740219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3,2,5,0,0,0,0,sov,PM,423.86,0,1,1,0.0,15.1,15.0771,15.0771,24,9.3123,63.004822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4,2,6,0,0,0,0,sov,PM,113.28,0,1,1,0.0,45.7,45.6848,45.6848,16,12.1108,18.439939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
5,2,6,0,0,1,0,sov,PM,10.78,0,1,1,0.0,18.2,18.2452,18.2452,22,12.5529,18.439939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
6,2,8,0,0,0,0,sov,PM,15.76,0,1,1,0.0,7.5,7.5056,7.5056,10,4.4721,2.342040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
7,2,9,0,0,0,0,sov,PM,34.98,0,1,1,0.0,4.2,4.2303,4.2303,9,2.5498,5.200280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
8,2,10,0,0,0,0,sov,PM,25.91,0,1,1,0.0,5.8,5.7605,5.7605,11,3.4702,3.851200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
9,2,12,0,0,0,0,sov,PM,6.43,0,1,1,0.0,9.6,9.5506,9.5506,16,5.8003,0.955840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
10,2,14,0,0,0,0,sov,PM,10.17,0,1,1,0.0,12.7,12.6747,12.6747,21,7.6835,1.512060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
11,2,16,0,0,0,0,sov,PM,4.24,0,1,1,0.0,46.3,46.2676,46.2676,18,11.3133,0.771980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
12,2,16,0,0,1,0,sov,PM,8.00,0,1,1,0.0,18.8,18.8280,18.8280,24,11.7554,0.771980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
13,2,17,0,0,0,0,sov,PM,16.47,0,1,1,0.0,17.3,17.3005,17.3005,22,10.3463,2.448760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
14,2,19,0,0,0,0,sov,PM,34.98,0,1,1,0.0,3.7,3.6585,3.6585,7,2.2018,5.200280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
15,2,602,0,0,0,0,sov,PM,6.12,0,1,1,0.0,20.8,20.7531,20.7531,24,10.8682,0.111360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
16,2,615,0,0,0,0,sov,PM,6.06,0,1,1,0.0,48.8,48.7528,48.7528,17,11.7442,1.240620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
