o_zone_id,d_zone_id,links
1,3,"['201069AB', '201070AB', '201088AB', '201090AB', '201498AB', '201550AB', '201562AB', '201564AB', '201568AB', '201573AB', '201574AB', '201645BA', '201646BA', '201810AB', '201827BA', '201844BA', '201847AB', '201849AB']"
1,4,"['201078AB', '201088AB', '201277AB', '201298AB', '201324AB', '201345AB', '201348AB', '201589AB', '201635AB', '201644AB']"
1,5,"['200831AB', '200947BA', '201078AB', '201088AB', '201271AB', '201277AB', '201280AB', '201286AB', '201319AB', '201320BA', '201321AB', '201322AB', '201345AB', '201348AB', '201589AB', '201635AB', '201644AB']"
1,6,"['200821AB', '201003BA', '201065BA', '201078AB', '201088AB', '201345AB', '201346BA', '201352AB', '201589AB', '201595BA', '201606BA', '201635AB', '201644AB']"
1,8,"['201088AB', '201090AB', '201645BA', '201646BA', '201848AB']"
1,9,"['201069AB', '201070AB', '201088AB', '201090AB', '201498AB', '201550AB', '201563AB', '201568AB', '201573AB', '201574AB', '201645BA', '201646BA', '201810AB', '201827BA', '201844BA', '201847AB', '201849AB']"
1,10,"['201069AB', '201070AB', '201088AB', '201090AB', '201498AB', '201548AB', '201549AB', '201557AB', '201559AB', '201560BA', '201573AB', '201574AB', '201645BA', '201646BA', '201810AB', '201827BA', '201844BA', '201847AB', '201849AB']"
1,12,"['201078AB', '201088AB', '201105AB', '201277AB', '201294BA', '201317BA', '201319AB', '201321AB', '201322AB', '201335AB', '201345AB', '201348AB', '201508AB', '201514AB', '201589AB', '201635AB', '201644AB']"
1,14,"['201078AB', '201088AB', '201277AB', '201292AB', '201300AB', '201319AB', '201320BA', '201321AB', '201322AB', '201345AB', '201348AB', '201589AB', '201635AB', '201644AB']"
1,16,"['200820AB', '200998AB', '201000AB', '201001AB', '201065BA', '201078AB', '201088AB', '201345AB', '201346BA', '201352AB', '201589AB', '201595BA', '201606BA', '201635AB', '201644AB']"
1,17,"['201065BA', '201078AB', '201088AB', '201345AB', '201346BA', '201352AB', '201589AB', '201597BA', '201604BA', '201605AB', '201611BA', '201635AB', '201644AB']"
1,602,"['200831AB', '200917BA', '201078AB', '201088AB', '201271AB', '201277AB', '201280AB', '201286AB', '201319AB', '201320BA', '201321AB', '201322AB', '201345AB', '201348AB', '201589AB', '201635AB', '201644AB']"
1,615,"['200820AB', '200833BA', '200846BA', '200997BA', '201001AB', '201061AB', '201065BA', '201078AB', '201088AB', '201345AB', '201346BA', '201352AB', '201589AB', '201595BA', '201606BA', '201635AB', '201644AB']"
1,617,"['201065BA', '201078AB', '201088AB', '201345AB', '201346BA', '201352AB', '201589AB', '201596AB', '201597BA', '201601BA', '201602BA', '201604BA', '201605AB', '201635AB', '201644AB']"
1,619,"['201065BA', '201078AB', '201088AB', '201345AB', '201346BA', '201352AB', '201589AB', '201604BA', '201605AB', '201607BA', '201635AB', '201644AB']"
1,620,"['201046BA', '201065BA', '201078AB', '201088AB', '201345AB', '201346BA', '201352AB', '201589AB', '201635AB', '201644AB']"
1,621,"['201078AB', '201088AB', '201102BA', '201104AB', '201338BA', '201340BA', '201342AB', '201345AB', '201351AB', '201352AB', '201353AB', '201354AB', '201532AB', '201589AB', '201635AB', '201644AB']"
1,622,"['201078AB', '201088AB', '201271AB', '201277AB', '201284BA', '201285AB', '201286AB', '201287BA', '201319AB', '201320BA', '201321AB', '201322AB', '201345AB', '201348AB', '201589AB', '201635AB', '201644AB']"
1,623,"['201078AB', '201088AB', '201102BA', '201104AB', '201341BA', '201342AB', '201345AB', '201351AB', '201352AB', '201353AB', '201354AB', '201532AB', '201589AB', '201635AB', '201644AB']"
1,624,"['201078AB', '201088AB', '201277AB', '201294BA', '201317BA', '201319AB', '201321AB', '201322AB', '201333BA', '201335AB', '201345AB', '201348AB', '201589AB', '201635AB', '201644AB']"
1,625,"['201078AB', '201088AB', '201102BA', '201105AB', '201277AB', '201294BA', '201317BA', '201319AB', '201321AB', '201322AB', '201335AB', '201342AB', '201345AB', '201348AB', '201351AB', '201352AB', '201353AB', '201354AB', '201501AB', '201518AB', '201519BA', '201533AB', '201542BA', '201589AB', '201635AB', '201644AB']"
1,626,"['201069AB', '201070AB', '201078AB', '201088AB', '201090AB', '201105AB', '201277AB', '201294BA', '201317BA', '201319AB', '201321AB', '201322AB', '201335AB', '201345AB', '201348AB', '201498AB', '201502BA', '201504BA', '201518AB', '201526BA', '201527BA', '201549AB', '201559AB', '201560BA', '201573AB', '201574AB', '201589AB', '201635AB', '201644AB', '201645BA', '201646BA', '201810AB', '201827BA', '201844BA', '201847AB', '201849AB']"
