link_id,vdf_type,from_node_id,to_node_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,preload_volume,person_volume,travel_time,speed,speed_ratio,VOC,DOC,capacity,queue,avg_waiting_time_in_min,qdf,lanes,D,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_sov,person_vol_hov2,person_vol_hov3,person_vol_sut,person_vol_mut,obs_count,upper_bound_type,dev,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,TT_0,TT_1,TT_2,TT_3,TT_4,TT_5,TT_6,TT_7,TT_8,TT_9,TT_10,TT_11,TT_12,TT_13,TT_14,TT_15,TT_16,TT_17,TT_18,TT_19,SVol_0,SVol_1,SVol_2,SVol_3,SVol_4,SVol_5,SVol_6,SVol_7,SVol_8,SVol_9,SVol_10,SVol_11,SVol_12,SVol_13,SVol_14,SVol_15,SVol_16,SVol_17,SVol_18,SVol_19,notes
200820AB,qvdf,202925,202924,,,-1,0,-1,-1,4,,4,1500_1800,1193.293,1.6,1193.293,2.194,28.066,0.72,0.796,0.847,500.0,0.0,0.615,0.355,1.0,423.442,1.169,1.195,0.882,0.0,39.0,33.15,0.498,1.0,28.066,23.04,1224.736,43.638,1224.736,43.638,12.235,6.693,"LINESTRING (-112.446534 33.715240, -112.463350 33.712930)",1191.7,0.0,0.0,0.0,0.0,1193.293,0.0,997.5,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.687,37.749,36.811,35.873,34.935,33.997,35.556,26.38,24.203,34.289,34.64,37.256,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,1193.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200820BA,qvdf,202924,202925,,,-1,0,-1,-1,4,,4,1500_1800,1224.299,1.544,1224.299,2.222,27.72,0.711,0.816,0.869,500.0,0.0,0.643,0.355,1.0,434.445,1.169,1.195,0.921,0.0,39.0,33.15,0.498,1.0,27.72,22.732,1256.559,45.33,1256.559,45.33,13.111,7.425,"LINESTRING (-112.462914 33.709754, -112.446098 33.712064)",1222.8,0.0,0.0,0.0,0.0,1224.299,0.0,1078.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.683,37.733,36.783,35.833,34.883,33.934,34.988,25.813,23.803,33.475,34.482,37.193,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,1224.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200821AB,qvdf,202925,202923,,,-1,0,-1,-1,2,,2,1500_1800,2415.551,628.227,2415.551,1.433,48.824,0.872,0.447,0.484,900.0,0.0,0.184,0.361,2.0,436.027,1.235,1.177,0.362,0.0,56.0,47.6,0.457,1.0,48.824,40.845,2817.208,57.701,2817.208,57.701,7.394,0.0,"LINESTRING (-112.445319 33.714907, -112.459997 33.726565)",1787.3,0.0,0.0,0.0,0.0,2415.551,0.0,-1417.7,55.977,55.91,55.842,55.774,55.706,55.638,55.571,52.768,55.651,55.746,55.841,55.937,55.966,55.865,55.765,55.664,55.563,55.462,55.361,55.26,55.159,55.058,54.958,54.857,54.756,54.655,51.866,54.772,54.913,55.055,55.197,55.339,55.48,55.622,55.764,55.906,55.671,54.685,53.699,52.713,51.727,50.741,49.755,50.053,47.302,50.16,52.35,54.54,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,2415.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200821BA,qvdf,202923,202925,,,-1,0,-1,-1,2,,2,1500_1800,2372.997,664.332,2372.997,1.428,49.011,0.875,0.439,0.476,900.0,0.0,0.178,0.361,2.0,428.346,1.235,1.177,0.351,0.0,56.0,47.6,0.457,1.0,49.011,41.018,2767.579,56.469,2767.579,56.469,7.048,0.0,"LINESTRING (-112.461991 33.724055, -112.447313 33.712397)",1708.7,0.0,0.0,0.0,0.0,2372.997,0.0,-1583.1,55.975,55.901,55.826,55.752,55.677,55.603,55.528,52.725,55.617,55.721,55.826,55.93,55.963,55.852,55.742,55.631,55.52,55.409,55.299,55.188,55.077,54.967,54.856,54.745,54.634,54.524,51.737,54.651,54.807,54.963,55.118,55.274,55.429,55.585,55.741,55.896,55.681,54.723,53.765,52.808,51.85,50.892,49.935,50.348,47.588,50.349,52.468,54.587,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,2373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200831AB,qvdf,202909,202908,,,-1,0,-1,-1,2,,2,1500_1800,1617.676,10.124,1617.676,0.835,36.296,0.931,0.3,0.324,900.0,0.0,0.058,0.361,2.0,292.004,1.235,1.177,0.183,0.0,39.0,33.15,0.457,1.0,36.296,30.586,816.894,22.506,816.894,22.506,1.56,0.0,"LINESTRING (-112.452710 33.640116, -112.461465 33.639989)",1607.6,0.0,0.0,0.0,0.0,1617.676,0.0,-529.8,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.999,38.999,38.999,38.999,38.999,38.999,37.049,38.999,38.999,38.999,38.999,39.0,39.0,39.0,39.0,39.0,38.882,38.528,38.174,37.819,37.465,37.111,36.757,37.202,35.263,37.016,37.76,38.504,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1617.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200831BA,qvdf,202908,202909,,,-1,0,-1,-1,2,,2,1500_1800,1160.579,10.076,1160.579,0.81,37.413,0.959,0.215,0.233,900.0,0.0,0.033,0.361,2.0,209.494,1.235,1.177,0.104,0.0,39.0,33.15,0.457,1.0,37.413,31.639,586.069,15.665,586.069,15.665,0.638,0.0,"LINESTRING (-112.461419 33.636783, -112.452664 33.636910)",1150.5,0.0,0.0,0.0,0.0,1160.579,0.0,-336.4,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.999,38.999,38.999,38.999,38.999,38.999,37.049,38.999,38.999,38.999,38.999,39.0,39.0,39.0,39.0,39.0,38.932,38.728,38.525,38.321,38.117,37.913,37.71,37.506,35.57,37.884,38.302,38.721,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1160.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200833AB,qvdf,202905,202904,,,-1,0,-1,-1,4,,4,1500_1800,1.106,0.0,1.106,3.266,40.0,1.0,0.001,0.001,500.0,0.0,0.0,0.355,1.0,0.393,1.169,1.195,0.0,0.0,40.0,34.0,0.498,1.0,40.0,34.0,2.408,0.06,2.408,0.06,0.0,0.0,"LINESTRING (-112.478596 33.680470, -112.440812 33.680415)",1.1,0.0,0.0,0.0,0.0,1.106,0.0,-6.7,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200833BA,qvdf,202904,202905,,,-1,0,-1,1,4,,4,1500_1800,2.056,0.0,2.056,3.266,40.0,1.0,0.001,0.001,500.0,0.0,0.0,0.355,1.0,0.73,1.169,1.195,0.0,0.0,40.0,34.0,0.498,1.0,40.0,34.0,4.477,0.112,4.477,0.112,0.0,0.0,"LINESTRING (-112.440808 33.683621, -112.478592 33.683676)",2.1,0.0,0.0,0.0,0.0,2.056,0.0,-7.2,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200846AB,qvdf,615,202905,,,-1,0,-1,-1,9,,9,1500_1800,1.106,0.0,1.106,3.66,20.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.355,9.0,0.044,1.169,1.195,0.0,0.0,20.0,17.0,0.498,1.0,20.0,17.0,1.35,0.067,1.35,0.067,0.0,0.0,"LINESTRING (-112.462929 33.694446, -112.479483 33.683406)",1.1,0.0,0.0,0.0,0.0,1.106,0.0,-6.4,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200846BA,qvdf,202905,615,,,-1,0,-1,-1,9,,9,1500_1800,2.056,0.0,2.056,3.66,20.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.355,9.0,0.081,1.169,1.195,0.0,0.0,20.0,17.0,0.498,1.0,20.0,17.0,2.509,0.125,2.509,0.125,0.0,0.0,"LINESTRING (-112.477705 33.680740, -112.461151 33.691780)",2.1,0.0,0.0,0.0,0.0,2.056,0.0,-6.8,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
