link_id,vdf_type,from_node_id,to_node_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,preload_volume,person_volume,travel_time,speed,speed_ratio,VOC,DOC,capacity,queue,avg_waiting_time_in_min,qdf,lanes,D,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_sov,person_vol_hov2,person_vol_hov3,person_vol_sut,person_vol_mut,obs_count,upper_bound_type,dev,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,TT_0,TT_1,TT_2,TT_3,TT_4,TT_5,TT_6,TT_7,TT_8,TT_9,TT_10,TT_11,TT_12,TT_13,TT_14,TT_15,TT_16,TT_17,TT_18,TT_19,SVol_0,SVol_1,SVol_2,SVol_3,SVol_4,SVol_5,SVol_6,SVol_7,SVol_8,SVol_9,SVol_10,SVol_11,SVol_12,SVol_13,SVol_14,SVol_15,SVol_16,SVol_17,SVol_18,SVol_19,notes
200820AB,qvdf,202925,202924,,,-1,0,-1,-1,4,,4,1500_1800,1206.26,1.6,1206.26,2.206,27.921,0.716,0.804,0.856,500.0,0.0,0.627,0.355,1.0,428.044,1.169,1.195,0.898,0.0,39.0,33.15,0.498,1.0,27.921,22.911,1238.045,44.341,1238.045,44.341,12.596,6.994,"LINESTRING (-112.446534 33.715240, -112.463350 33.712930)",1204.7,0.0,0.0,0.0,0.0,1206.26,0.0,1010.5,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.686,37.743,36.8,35.857,34.914,33.971,35.328,26.14,24.034,33.957,34.576,37.23,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,1206.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200820BA,qvdf,202924,202925,,,-1,0,-1,-1,4,,4,1500_1800,1173.249,1.544,1173.249,2.177,28.29,0.725,0.782,0.833,500.0,0.0,0.598,0.355,1.0,416.33,1.169,1.195,0.857,0.0,39.0,33.15,0.498,1.0,28.29,23.241,1204.164,42.565,1204.164,42.565,11.689,6.24,"LINESTRING (-112.462914 33.709754, -112.446098 33.712064)",1171.7,0.0,0.0,0.0,0.0,1173.249,0.0,1026.9,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.69,37.759,36.829,35.898,34.967,34.037,35.872,26.761,24.468,34.772,34.736,37.294,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,1173.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200821AB,qvdf,202925,202923,,,-1,0,-1,-1,2,,2,1500_1800,2127.225,628.227,2127.225,1.398,50.068,0.894,0.394,0.427,900.0,0.0,0.148,0.361,2.0,383.982,1.235,1.177,0.291,0.0,56.0,47.6,0.457,1.0,50.068,42.0,2480.939,49.552,2480.939,49.552,5.249,0.0,"LINESTRING (-112.445319 33.714907, -112.459997 33.726565)",1499.0,0.0,0.0,0.0,0.0,2127.225,0.0,-1706.0,55.977,55.91,55.842,55.774,55.706,55.638,55.571,52.768,55.651,55.746,55.841,55.937,55.966,55.865,55.765,55.664,55.563,55.462,55.361,55.26,55.159,55.058,54.958,54.857,54.756,54.655,51.866,54.772,54.913,55.055,55.197,55.339,55.48,55.622,55.764,55.906,55.733,54.934,54.134,53.334,52.534,51.734,50.934,49.73,46.956,51.37,53.106,54.843,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2127.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200821BA,qvdf,202923,202925,,,-1,0,-1,-1,2,,2,1500_1800,2139.1,664.332,2139.1,1.399,50.017,0.893,0.396,0.429,900.0,0.0,0.149,0.361,2.0,386.126,1.235,1.177,0.294,0.0,56.0,47.6,0.457,1.0,50.017,41.953,2494.79,49.878,2494.79,49.878,5.329,0.0,"LINESTRING (-112.461991 33.724055, -112.447313 33.712397)",1474.8,0.0,0.0,0.0,0.0,2139.1,0.0,-1817.0,55.975,55.901,55.826,55.752,55.677,55.603,55.528,52.725,55.617,55.721,55.826,55.93,55.963,55.852,55.742,55.631,55.52,55.409,55.299,55.188,55.077,54.967,54.856,54.745,54.634,54.524,51.737,54.651,54.807,54.963,55.118,55.274,55.429,55.585,55.741,55.896,55.731,54.924,54.117,53.309,52.502,51.695,50.888,49.646,46.872,51.324,53.077,54.831,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2139.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200831AB,qvdf,202909,202908,,,-1,0,-1,-1,2,,2,1500_1800,1337.535,10.124,1337.535,0.819,37.003,0.949,0.248,0.268,900.0,0.0,0.042,0.361,2.0,241.436,1.235,1.177,0.133,0.0,39.0,33.15,0.457,1.0,37.003,31.252,675.428,18.253,675.428,18.253,0.935,0.0,"LINESTRING (-112.452710 33.640116, -112.461465 33.639989)",1327.4,0.0,0.0,0.0,0.0,1337.535,0.0,-809.9,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.999,38.999,38.999,38.999,38.999,38.999,37.049,38.999,38.999,38.999,38.999,39.0,39.0,39.0,39.0,39.0,38.914,38.656,38.398,38.139,37.881,37.623,37.365,37.107,35.17,37.574,38.109,38.644,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1337.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200831BA,qvdf,202908,202909,,,-1,0,-1,-1,2,,2,1500_1800,1011.47,10.076,1011.47,0.803,37.732,0.967,0.187,0.203,900.0,0.0,0.026,0.361,2.0,182.579,1.235,1.177,0.083,0.0,39.0,33.15,0.457,1.0,37.732,31.942,510.772,13.537,510.772,13.537,0.44,0.0,"LINESTRING (-112.461419 33.636783, -112.452664 33.636910)",1001.4,0.0,0.0,0.0,0.0,1011.47,0.0,-485.5,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.999,38.999,38.999,38.999,38.999,38.999,37.049,38.999,38.999,38.999,38.999,39.0,39.0,39.0,39.0,39.0,38.946,38.784,38.622,38.461,38.299,38.137,37.975,37.813,35.876,38.118,38.449,38.78,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1011.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200833AB,qvdf,202905,202904,,,-1,0,-1,-1,4,,4,1500_1800,1.125,0.0,1.125,3.266,40.0,1.0,0.001,0.001,500.0,0.0,0.0,0.355,1.0,0.399,1.169,1.195,0.0,0.0,40.0,34.0,0.498,1.0,40.0,34.0,2.448,0.061,2.448,0.061,0.0,0.0,"LINESTRING (-112.478596 33.680470, -112.440812 33.680415)",1.1,0.0,0.0,0.0,0.0,1.125,0.0,-6.7,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200833BA,qvdf,202904,202905,,,-1,0,-1,1,4,,4,1500_1800,1.744,0.0,1.744,3.266,40.0,1.0,0.001,0.001,500.0,0.0,0.0,0.355,1.0,0.619,1.169,1.195,0.0,0.0,40.0,34.0,0.498,1.0,40.0,34.0,3.797,0.095,3.797,0.095,0.0,0.0,"LINESTRING (-112.440808 33.683621, -112.478592 33.683676)",1.7,0.0,0.0,0.0,0.0,1.744,0.0,-7.5,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200846AB,qvdf,615,202905,,,-1,0,-1,-1,9,,9,1500_1800,1.125,0.0,1.125,3.66,20.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.355,9.0,0.044,1.169,1.195,0.0,0.0,20.0,17.0,0.498,1.0,20.0,17.0,1.372,0.069,1.372,0.069,0.0,0.0,"LINESTRING (-112.462929 33.694446, -112.479483 33.683406)",1.1,0.0,0.0,0.0,0.0,1.125,0.0,-6.4,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.999,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200846BA,qvdf,202905,615,,,-1,0,-1,-1,9,,9,1500_1800,1.744,0.0,1.744,3.66,20.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.355,9.0,0.069,1.169,1.195,0.0,0.0,20.0,17.0,0.498,1.0,20.0,17.0,2.128,0.106,2.128,0.106,0.0,0.0,"LINESTRING (-112.477705 33.680740, -112.461151 33.691780)",1.7,0.0,0.0,0.0,0.0,1.744,0.0,-7.1,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
